Topic 1,Topic 2,Co-occurrence Count
Rabbi Shimon Bar Yochai,Rabbi Yehuda Ashlag,933.0
Kabbalah,Tikkunei Zohar,931.0
Rabbi Shimon Bar Yochai,Vital Transformation,930.0
Prayer,Women,927.0
High Holidays,Teshuvah,925.0
Learning,Rabbi Yehuda Tzvi Brandwein,920.5
Ecology,Nature,916.0
יחיד וחברה,צדק חברתי,903.5
Community,Justice,900.0
Prayer,Rosh Hashanah,900.0
Learning,Torah,896.0
Mitzvot,Prayer,890.0
Parashat Yitro,Sinai,890.0
Commandments,Holidays,889.0
Commandments,God,885.5
Bible,RJPS,880.0
Rabbi Shimon Bar Yochai,Rabbi Yehuda Tzvi Brandwein,879.0
Eretz Yisrael,Israel,870.0
Haman,Mordechai,868.5
Creation,Parashat Bereishit,868.0
God,Knowing God,868.0
Community,Torah Study,864.0
Parashah,d'Var Torah,861.0
Forgiveness,Yom Kippur,860.0
Kabbalah,Mysticism,858.0
Community,Shabbat,856.0
Repentance,Rosh Hashanah,856.0
Gender,Transgender,850.5
Esther,Megillah,850.0
Parashat Yitro,Revelation,848.0
Food,Kashrut,840.0
Tshuva,Yom Kippur,840.0
Moses,Moshe,838.5
Elul,Repentance,836.0
Baal HaSulam,Kabbalah,833.0
Korach,Machloket,830.5
Egypt,Passover,824.0
Baal HaSulam,Zohar,819.0
Prayer,Yom Kippur,819.0
Spirituality,Tikkunei Zohar,819.0
Community,Learning,816.0
Baal HaSulam,Spirituality,815.5
Chesed,Kindness,810.0
D’var Torah,Parashah,810.0
Justice,Obligation,810.0
Law,Prayer,810.0
Obligation,Women,810.0
Prayer,Thanksgiving,810.0
Social Justice,Tikkun Olam,805.0
Kabbalah,קבלה,804.0
Rabbi Eliyahu Jian,Tikkunei Zohar,804.0
Rosh Hashanah,Teshuvah,804.0
Counting,Omer,803.0
Holidays,Joy,803.0
Esther,Haman,800.0
Holidays,Mitzvot,798.0
Penimiut,Zohar,798.0
Bible,Biblical Hebrew,796.5
Community,Education,796.0
Rabbi Yehuda Ashlag,Tikkunei Zohar,795.0
Tikkunei Zohar,Vital Transformation,795.0
Rashbi,Spirituality,791.0
Rashbi,Zohar,791.0
Community,Prayer,790.5
Blessings,Eating,786.5
Assignment,Training Course,786.0
Commandments,Tefilla,785.0
Kabbalah,Rashbi,784.0
Bible,Translation,781.0
Holidays,Yom Kippur,781.0
Chanukah,Hanukah,780.0
Chassidut,God,780.0
Community,Tikkun Olam,780.0
Rabbi Yehuda Tzvi Brandwein,Tikkunei Zohar,780.0
God,Mitzvot,778.5
אמונות ודעות,תרבות,773.0
Exodus,Passover,772.0
Parashat Yitro,Shavuot,772.0
Charity,Tzedakah,770.0
Maimonides,Repentance,770.0
Penimiut,Spirituality,770.0
Abortion,Medical Ethics,768.0
Creation,Shabbat,768.0
Education,Rabbi Shimon Bar Yochai,766.5
Israel,Land,765.0
Environment,Trees,764.0
אדם ומרחב,יחיד וחברה,763.5
Jacob,Joseph,752.0
Candles,Chanukah,750.0
Debate,Hillel,746.0
יחיד וחברה,כבוד האדם,739.5
Education,Torah Study,736.0
God,Torah,736.0
Nature,Tu B'Shvat,736.0
Prayer,Tefila,730.0
Community,Love,728.0
Drinking,Purim,728.0
Land,Shemitah,728.0
Abraham,Parashat Lech Lecha,721.0
